oem,oem_norm,hr_raw,hr_code,matched
266.680,266680,HR6036,HR 6036,1
266.719,266719,HR7319,HR 7319,1
266.720,266720,HR7321,HR 7321,1
266.821,266821,HR7035,HR 7035,1
2673,2673,HR1152,HR 1152,1
2674,2674,HR5525,HR 5525,1
2675,2675,HR1150,HR 1150,1
2676,2676,HR3583,HR 3583,1
2677,2677,HR1127,HR 1127,1
26779,26779,HR6633,HR 6633,1
26779.051,26779051,HR6633,HR 6633,1
2678,2678,HR3575,HR 3575,1
26820461,26820461,HR8595,HR 8595,1
26821211,26821211,HR7950,HR 7950,1
26821212,26821212,HR7950,HR 7950,1
26830001,26830001,HR7772,HR 7772,1
26830260,26830260,HR6638,HR 6638,1
26830261,26830261,HR6638,HR 6638,1
26830262,26830262,HR6638,HR 6638,1
26830263,26830263,HR6638,HR 6638,1
26830265,26830265,HR6639,HR 6639,1
2683026X,2683026X,HR6638,HR 6638,1
26830306,26830306,HR8746,HR 8746,1
26830452,26830452,HR6546,HR 6546,1
26830483,26830483,HR8708,HR 8708,1
26830484,26830484,HR8708,HR 8708,1
2683048X,2683048X,HR8708,HR 8708,1
26830550,26830550,HR8751,HR 8751,1
26830551,26830551,HR8751,HR 8751,1
26830553,26830553,HR8751,HR 8751,1
26830554,26830554,HR8751,HR 8751,1
26830561,26830561,HR6629,HR 6629,1
26830681,26830681,HR7299,HR 7299,1
26830682,26830682,HR7299,HR 7299,1
26830730,26830730,HR6607,HR 6607,1
26830731,26830731,HR6607,HR 6607,1
26830732,26830732,HR6607,HR 6607,1
2683076X,2683076X,HR7681,HR 7681,1
2683077X,2683077X,HR7684,HR 7684,1
26830900,26830900,HR7683,HR 7683,1
26830901,26830901,HR7683,HR 7683,1
26830902,26830902,HR7683,HR 7683,1
26830903,26830903,HR7683,HR 7683,1
2683090X,2683090X,HR7683,HR 7683,1
26830912,26830912,HR7682,HR 7682,1
26830913,26830913,HR7682,HR 7682,1
2683091X,2683091X,HR7682,HR 7682,1
26830924,26830924,HR8748,HR 8748,1
26830926,26830926,HR8748,HR 8748,1
26830990,26830990,HR8581,HR 8581,1
26830991,26830991,HR8581,HR 8581,1
26830992,26830992,HR8581,HR 8581,1
26830993,26830993,HR8581,HR 8581,1
26830994,26830994,HR8581,HR 8581,1
26830995,26830995,HR8581,HR 8581,1
26830996,26830996,HR8581,HR 8581,1
2683099X,2683099X,HR8581,HR 8581,1
26831000,26831000,HR7772,HR 7772,1
26831001,26831001,HR7772,HR 7772,1
26831002,26831002,HR7772,HR 7772,1
2683100X,2683100X,HR7772,HR 7772,1
26831072,26831072,HR8242,HR 8242,1
26831073,26831073,HR8242,HR 8242,1
