oem,oem_norm,fbt
003331105,003331105,FBT13721
003331106,003331106,FBT13637
003331107,003331107,FBT13596
003331108,003331108,FBT40196
003331109,003331109,FBT13894
003331110,003331110,FBT40011
003331114,003331114,FBT13723
003331118,003331118,FBT13897
003331119,003331119,FBT13726
003341001,003341001,FBT13661
003341002,003341002,FBT13837
003341003,003341003,FBT13837
003341004,003341004,FBT40601
003341007,003341007,FBT13646
003341008,003341008,FBT40237
003341101,003341101,FBT13664
003341102,003341102,FBT13721
003341103,003341103,FBT13782
003341104,003341104,FBT40043
003341105,003341105,FBT40129
003341106,003341106,FBT40251
003341107,003341107,FBT40098
003341108,003341108,FBT40095
003341109,003341109,FBT40231
003350101,003350101,FBT40073
003350103,003350103,FBT40110
003350106,003350106,FBT40074
003350107,003350107,FBT13826
003370101,003370101,FBT40349
003370102,003370102,FBT13504
003370103,003370103,FBT13846
003370104,003370104,FBT40026
003370105,003370105,FBT40025
003370106,003370106,FBT13816
003370107,003370107,FBT13849
003370108,003370108,FBT40174
003370109,003370109,FBT13817
003370110,003370110,FBT40411
003370113,003370113,FBT13828
003370114,003370114,FBT40529
003370115,003370115,FBT40530
003370116,003370116,FBT13816
003370118,003370118,FBT40632
003381001,003381001,FBT40072
003381002,003381002,FBT40040
003381003,003381003,FBT40091
003381004,003381004,FBT40084
003381005,003381005,FBT13505
003381009,003381009,FBT40520
003381010,003381010,FBT40531
003381101,003381101,FBT40082
003381102,003381102,FBT40103
003381103,003381103,FBT13729
003381107,003381107,FBT40538
003390001,003390001,FBT40232
003390002,003390002,FBT13829
003390003,003390003,FBT13818
003390005,003390005,FBT13820
003390006,003390006,FBT40246
003390007,003390007,FBT13827
003390008,003390008,FBT13831
003400005,003400005,FBT13911
003400007,003400007,FBT13925
003410002,003410002,FBT13922
003410003,003410003,FBT13922
003410004,003410004,FBT13929
003410005,003410005,FBT40396
003441001,003441001,FBT40492
003441003,003441003,FBT40601
003441004,003441004,FBT40601
003441005,003441005,FBT40601
003441006,003441006,FBT41055
003441007,003441007,FBT40469
003441009,003441009,FBT40721
003441012,003441012,FBT40782
003441017,003441017,FBT40666
003441020,003441020,FBT40784
003441030,003441030,FBT40490
003491001,003491001,FBT40681
003491002,003491002,FBT40486
003491004,003491004,FBT40498
003491101,003491101,FBT40719
003491102,003491102,FBT40725
003491107,003491107,FBT40322
003581105,003581105,FBT41387
003581106,003581106,FBT41388
003581107,003581107,FBT41121
003582101,003582101,FBT41394
003582102,003582102,FBT41334
003582104,003582104,FBT41389
003582105,003582105,FBT41390
003582106,003582106,FBT41285
003583102,003583102,FBT41395
003583103,003583103,FBT41391
003583105,003583105,FBT41384
003583301,003583301,FBT41122
003583302,003583302,FBT41393
003583306,003583306,FBT41392
0040 141 600,0040141600,FBT13504
0040 148 300,0040148300,FBT13729
00402113,00402113,FBT40373
0043026603,0043026603,FBT40167
004 721 7,0047217,FBT40327
0047 328 400,0047328400,FBT13846
005521838,005521838,FBT13604
00 595 43,0059543,FBT40424
00 604 55,0060455,FBT40200
00 616 46,0061646,FBT40612
00 619 16,0061916,FBT40234
006 353 7,0063537,FBT40332
00 656 92,0065692,FBT13503
00 707 25,0070725,FBT40348
007 992 1,0079921,FBT40103
00D3508002,00D3508002,FBT40181
00D3508003,00D3508003,FBT40096
00D3515001PL1,00D3515001PL1,FBT40096
00D4260004HT1,00D4260004HT1,FBT40181
00H07012400,00H07012400,FBT13816
00H07018900,00H07018900,FBT40078
01 001 19,0100119,FBT40717
01 001 70,0100170,FBT40715
01 003 96,0100396,FBT41065
01 004 02,0100402,FBT40875
01 004 09,0100409,FBT40876
01 004 10,0100410,FBT40876
01 005 42,0100542,FBT40841
01 005 61,0100561,FBT40864
01 006 20,0100620,FBT40840
01 006 31,0100631,FBT40864
01 006 33,0100633,FBT40922
01 006 60,0100660,FBT40680
01 006 88,0100688,FBT40863
01 007 01,0100701,FBT40788
01 007 67,0100767,FBT41230
01 008 87,0100887,FBT40680
01 009 01,0100901,FBT40863
01 009 11,0100911,FBT40717
01 009 15,0100915,FBT40716
01 009 20,0100920,FBT40788
01 009 45,0100945,FBT40863
0102041400,0102041400,FBT40426
01 023 05,0102305,FBT40424
0102486,0102486,FBT40197
0102489,0102489,FBT40648
0102529,0102529,FBT40652
0102615,0102615,FBT40647
0103-03A,010303A,FBT41285
01 031 78,0103178,FBT40234
01 035 36,0103536,FBT40876
01 040 60,0104060,FBT40580
01 040 61,0104061,FBT40580
0106522,0106522,FBT40762
0106523,0106523,FBT40762
01098/0.4,0109804,FBT40927
01 113 71,0111371,FBT41334
01 113 77,0111377,FBT41072
01 114 55,0111455,FBT41393
01 115 22,0111522,FBT41121
013314801,013314801,FBT13758
013330471,013330471,FBT40342
013 544 2,0135442,FBT40229
014 125 9,0141259,FBT40594
015 338 7,0153387,FBT40148
016650101,016650101,FBT40928
016650201,016650201,FBT40846
016650301,016650301,FBT40898
016650401,016650401,FBT40900
016652201,016652201,FBT40897
016 747 8,0167478,FBT40333
016800300,016800300,FBT40803
016800401,016800401,FBT40857
016800601,016800601,FBT40879
016800701,016800701,FBT40880
016801001,016801001,FBT40878
020 964 3,0209643,FBT40330
0-2223-074,02223074,FBT40073
0-2223-075,02223075,FBT40110
0-2223-076,02223076,FBT40074
023 140 7,0231407,FBT40504
026 037 2,0260372,FBT40553
026 861 5,0268615,FBT40393
027 230 2,0272302,FBT40424
027 577 6,0275776,FBT13830
030 003 01,03000301,FBT40115
030 012 00,03001200,FBT40020
030141-21,03014121,FBT41058
032 008 00,03200800,FBT13472
032 008 01,03200801,FBT13472
032 308 00,03230800,FBT13472
032 315 00,03231500,FBT40470
032 496 2,0324962,FBT40233
03341004,03341004,FBT40601
0359-00012-01,03590001201,FBT40595
036 577 5,0365775,FBT40229
037 005 00,03700500,FBT13664
037 305 00,03730500,FBT13664
037 310 00,03731000,FBT13661
037 339 00,03733900,FBT13664
037 379 00,03737900,FBT13664
037 379 50,03737950,FBT13664
03738400,03738400,FBT40366
037 387 00,03738700,FBT40346
039 756 2,0397562,FBT40400
040.002-TR2,040002TR2,FBT41112
040.002-TR3,040002TR3,FBT41116
040.002-TR4,040002TR4,FBT41113
040.002-TR5,040002TR5,FBT41247
040.002-TR7,040002TR7,FBT41117
040.002-TR8,040002TR8,FBT41264
040.006-EL1,040006EL1,FBT41183
040.008-EL1,040008EL1,FBT41124
040.009-TR2,040009TR2,FBT41336
040.011-EL1,040011EL1,FBT41268
040.011R-E1,040011RE1,FBT41268
040.011R-J1,040011RJ1,FBT41268
040.011R-T1,040011RT1,FBT41268
040.011-TR1,040011TR1,FBT41268
040.013-EL1,040013EL1,FBT41271
040.013-TR1,040013TR1,FBT41271
040.014-EL1,040014EL1,FBT41189
040.014R-J1,040014RJ1,FBT41302
040.014R-T1,040014RT1,FBT41187
040.014-TR1,040014TR1,FBT41187
040.016-EL1,040016EL1,FBT41379
040.016-EL2,040016EL2,FBT41272
040.016R-E1,040016RE1,FBT41379
040.016R-E2,040016RE2,FBT41272
040.016R-J1,040016RJ1,FBT41379
040.016R-T1,040016RT1,FBT41379
040.016-TR1,040016TR1,FBT41379
040.016-TR2,040016TR2,FBT41272
040.017-EL2,040017EL2,FBT41152
040.017-EL3,040017EL3,FBT41273
040.017R-E2,040017RE2,FBT41152
040.017R-EL2,040017REL2,FBT41152
040.017R-J2,040017RJ2,FBT41152
040.017R-T2,040017RT2,FBT41152
040.017R-T3,040017RT3,FBT41273
040.017-TR3,040017TR3,FBT41273
040.019-EL1,040019EL1,FBT41223
040.019-EL2,040019EL2,FBT41346
040.019R-E2,040019RE2,FBT41346
040.020-EL3,040020EL3,FBT41360
040.020R-E3,040020RE3,FBT41360
040.020R-T3,040020RT3,FBT41360
040.020-TR3,040020TR3,FBT41360
040.022-EL2,040022EL2,FBT41361
040.022R-E2,040022RE2,FBT41361
040.022R-T2,040022RT2,FBT41361
040.022-TR2,040022TR2,FBT41361
040.024-EL2,040024EL2,FBT41342
040.024R-E2,040024RE2,FBT41342
040.024R-T2,040024RT2,FBT41342
